epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.667,2.61831,4.98523,3.01733,0.46796,0.46179,0.39924,0.33846,2.82858,5.67892,3.29164,0.00332673,0.00332673,0.00332673
2,506.677,2.1907,2.95443,2.57793,0.45639,0.46799,0.41408,0.34182,2.71082,5.1055,3.30065,0.00665347,0.00665347,0.00665347
3,753.248,2.27879,2.95282,2.60592,0.35998,0.40627,0.3385,0.25308,2.90601,6.06189,3.59235,0.00997361,0.00997361,0.00997361
4,999.296,2.34495,3.00945,2.64372,0.4198,0.38261,0.36008,0.30115,2.78517,6.41482,3.49458,0.0099703,0.0099703,0.0099703
5,1245.62,2.15283,2.7045,2.52247,0.38891,0.41316,0.35324,0.28882,3.06226,5.07762,3.7834,0.0099604,0.0099604,0.0099604
6,1494.42,2.04322,2.52444,2.45198,0.48552,0.4808,0.43155,0.36835,2.6795,5.6932,3.19426,0.0099505,0.0099505,0.0099505
7,1742.34,1.93644,2.38227,2.40035,0.52179,0.40134,0.39563,0.33708,2.51832,6.01885,3.19716,0.0099406,0.0099406,0.0099406
8,1990.58,1.85196,2.2709,2.3601,0.49616,0.50043,0.43307,0.36789,2.43386,5.458,3.19263,0.0099307,0.0099307,0.0099307
9,2237.52,1.81456,2.21599,2.32752,0.42608,0.48591,0.37382,0.32264,2.42414,6.25183,3.24373,0.0099208,0.0099208,0.0099208
10,2484.77,1.76797,2.17722,2.30167,0.46279,0.50381,0.42397,0.36129,2.38056,5.52396,3.18874,0.0099109,0.0099109,0.0099109
11,2732.13,1.71569,2.10293,2.28176,0.49386,0.51319,0.44515,0.39113,2.26922,5.86179,3.02818,0.009901,0.009901,0.009901
12,2979.26,1.67824,2.05795,2.25569,0.4604,0.50997,0.46873,0.4057,2.3805,4.80509,3.16015,0.0098911,0.0098911,0.0098911
13,3227.42,1.64948,2.03465,2.24183,0.47805,0.49988,0.43544,0.3714,2.37582,5.1283,3.15302,0.0098812,0.0098812,0.0098812
14,3475.01,1.62176,2.00816,2.23177,0.48795,0.51119,0.43174,0.37644,2.27272,5.85613,3.05896,0.0098713,0.0098713,0.0098713
15,3722.31,1.59834,1.97538,2.21773,0.47465,0.51493,0.43474,0.38436,2.28809,5.78681,3.08438,0.0098614,0.0098614,0.0098614
16,3969.97,1.57967,1.94129,2.20055,0.45021,0.50114,0.44018,0.37706,2.2653,5.79226,3.08694,0.0098515,0.0098515,0.0098515
17,4217.22,1.54711,1.92223,2.18767,0.54542,0.4545,0.41756,0.36019,2.31858,6.27389,3.11575,0.0098416,0.0098416,0.0098416
18,4465.59,1.53548,1.90722,2.18514,0.65536,0.45548,0.41094,0.36457,2.29541,6.50605,3.12347,0.0098317,0.0098317,0.0098317
19,4713.47,1.52185,1.91499,2.18608,0.69252,0.44518,0.40483,0.35965,2.21672,6.93652,3.08429,0.0098218,0.0098218,0.0098218
20,4961.94,1.50871,1.87751,2.16895,0.63983,0.45858,0.45801,0.40706,2.17849,5.80821,2.97576,0.0098119,0.0098119,0.0098119
